iter	MultiClass
0	0.9773677953
1	0.8760331987
2	0.7935712521
3	0.7243621623
4	0.6647010082
5	0.6122055702
6	0.5674220829
7	0.5262046718
8	0.4921434109
9	0.4603908037
10	0.4316684866
11	0.4047524459
12	0.3826822221
13	0.3602085366
14	0.3394549649
15	0.3220664438
16	0.3048129667
17	0.2901944951
18	0.2755779308
19	0.2622156348
20	0.2504303085
21	0.2391096395
22	0.2287502511
23	0.2192244427
24	0.2105969344
25	0.2027295068
26	0.1953841945
27	0.1882328666
28	0.181476873
29	0.174881612
30	0.1689387934
31	0.1633565982
32	0.1585551301
33	0.1535249073
34	0.1489520792
35	0.1449503926
36	0.1412532795
37	0.1376101025
38	0.1338942398
39	0.1309524743
40	0.1274735206
41	0.124500643
42	0.1221110252
43	0.1191180215
44	0.1168481449
45	0.113986216
46	0.1116507114
47	0.1092471279
48	0.1070381395
49	0.1051641068
50	0.1030459108
51	0.1015287562
52	0.09984739573
53	0.09813187309
54	0.09631202063
55	0.0948693659
56	0.09390006247
57	0.09206582239
58	0.090338054
59	0.08888638943
60	0.08734908346
61	0.08619261262
62	0.08479845421
63	0.08393681334
64	0.08269582309
65	0.08162195194
66	0.08055378754
67	0.07927369019
68	0.07844150499
69	0.07743588329
70	0.07629567154
71	0.07524718661
72	0.07443904265
73	0.07344219703
74	0.0727431604
75	0.07199968556
76	0.07132350953
77	0.07006173064
78	0.06923080745
79	0.06873038179
80	0.06808341629
81	0.06737772032
82	0.06643668164
83	0.0657211237
84	0.06510039898
85	0.06455319301
86	0.06373149723
87	0.06300750262
88	0.0624612386
89	0.06192224819
90	0.06101959631
91	0.06016676494
92	0.05941491378
93	0.058804705
94	0.05846252179
95	0.05776800877
96	0.05724950905
97	0.05670949697
98	0.05620385474
99	0.05559275986
100	0.05507399354
101	0.05459787297
102	0.05406779767
103	0.05354025347
104	0.05315697854
105	0.05276189644
106	0.05227536107
107	0.05183012978
108	0.05150496729
109	0.05113191193
110	0.05073547826
111	0.05042422082
112	0.04997583843
113	0.04959855674
114	0.0492506691
115	0.04881665706
116	0.04846935188
117	0.04816277396
118	0.04772945965
119	0.04717012585
120	0.04683458818
121	0.04660572437
122	0.04618568249
123	0.04580042041
124	0.0455706276
125	0.04521005938
126	0.04501720047
127	0.04473509574
128	0.04446824029
129	0.04423811127
130	0.04392316696
131	0.04351059011
132	0.04322816947
133	0.0427970553
134	0.04248607935
135	0.04223127267
136	0.04210055747
137	0.0418107809
138	0.04160271123
139	0.04118318456
140	0.04089873937
141	0.0406725554
142	0.04036536582
143	0.04004691861
144	0.03986475818
145	0.0395225259
146	0.03926887548
147	0.03905984578
148	0.03882719907
149	0.03860502536
150	0.0383064832
151	0.03799432395
152	0.03777616306
153	0.03750690813
154	0.03728833581
155	0.03701362251
156	0.03677131779
157	0.03658272394
158	0.03640455542
159	0.03619061839
160	0.03604921203
161	0.03578316739
162	0.03556456156
163	0.03539001208
164	0.03525203109
165	0.03494580898
166	0.03477380256
167	0.03457699715
168	0.03427328674
169	0.03417318119
170	0.03395402552
171	0.0337016363
172	0.03349258239
173	0.03330558643
174	0.03305095282
175	0.03282759186
176	0.03263672592
177	0.03246989488
178	0.03229350119
179	0.03214944006
180	0.03202418434
181	0.03181352155
182	0.03158836872
183	0.03142393471
184	0.03127007221
185	0.03110452983
186	0.03088637949
187	0.030754197
188	0.03065451726
189	0.03049916499
190	0.03037177453
191	0.03023709666
192	0.02997432949
193	0.02983600448
194	0.02965867337
195	0.02945475693
196	0.02926209346
197	0.02916423542
198	0.02906720936
199	0.0289041662
200	0.02880353846
201	0.02868152487
202	0.02854609029
203	0.02844476965
204	0.02830807978
205	0.02816996609
206	0.02799060123
207	0.02784835853
208	0.02774145787
209	0.02747468377
210	0.02731600024
211	0.02713681627
212	0.02702966933
213	0.02693457062
214	0.02684246102
215	0.02673452585
216	0.02656980995
217	0.02642778028
218	0.02628636351
219	0.02612723165
220	0.02605057535
221	0.02592105412
222	0.02579449056
223	0.02573564892
224	0.02555521401
225	0.02539508387
226	0.02528910063
227	0.02516405176
228	0.02508624557
229	0.0249436862
230	0.02485489528
231	0.02476271258
