iter	Passed	Remaining
234	855	2786
235	859	2781
236	862	2776
237	865	2772
238	868	2766
239	872	2762
240	875	2757
241	879	2753
242	882	2749
243	885	2743
244	888	2738
245	892	2735
246	895	2730
247	899	2726
248	902	2721
249	905	2717
250	909	2712
251	912	2708
252	916	2705
253	919	2701
254	927	2709
255	932	2711
256	936	2708
257	940	2705
258	945	2705
259	949	2702
260	953	2700
261	958	2699
262	962	2696
263	967	2696
264	971	2695
265	975	2693
266	980	2691
267	984	2690
268	989	2688
269	993	2686
270	997	2683
271	1000	2678
272	1004	2676
273	1007	2670
274	1013	2670
275	1016	2666
276	1019	2662
277	1023	2657
278	1026	2653
279	1030	2649
280	1033	2645
281	1037	2641
282	1040	2636
283	1044	2633
284	1047	2628
285	1053	2631
286	1060	2635
287	1065	2633
288	1068	2629
289	1072	2625
290	1075	2621
291	1079	2617
292	1083	2613
293	1086	2609
294	1090	2605
295	1093	2600
296	1096	2595
297	1099	2590
298	1103	2587
299	1106	2582
300	1110	2579
301	1113	2574
302	1117	2570
303	1120	2566
304	1124	2562
305	1127	2557
306	1131	2553
307	1134	2548
308	1138	2545
309	1141	2540
310	1144	2536
311	1148	2531
312	1151	2527
313	1154	2522
314	1158	2518
315	1161	2513
316	1165	2510
317	1168	2505
318	1172	2502
319	1175	2498
320	1179	2494
321	1182	2489
322	1185	2485
323	1189	2481
324	1192	2477
325	1196	2474
326	1200	2470
327	1203	2466
328	1207	2463
329	1211	2460
330	1214	2455
331	1218	2451
332	1221	2446
333	1224	2442
334	1227	2437
335	1231	2433
336	1234	2428
337	1237	2424
338	1240	2419
339	1244	2415
340	1247	2410
341	1250	2406
342	1254	2401
343	1257	2397
344	1260	2392
345	1263	2388
346	1267	2384
347	1270	2380
348	1274	2376
349	1277	2372
350	1280	2367
351	1284	2363
352	1287	2359
353	1290	2355
354	1293	2350
355	1297	2346
356	1300	2341
357	1303	2337
358	1306	2332
359	1309	2328
360	1313	2324
361	1316	2319
362	1319	2315
363	1323	2311
364	1326	2307
365	1330	2305
366	1333	2300
367	1337	2297
368	1341	2293
369	1346	2292
370	1350	2289
371	1353	2284
372	1357	2281
373	1360	2277
374	1364	2274
375	1368	2271
376	1372	2268
377	1376	2264
378	1379	2261
379	1383	2258
380	1387	2254
381	1391	2250
382	1394	2247
383	1398	2243
384	1401	2239
385	1405	2236
386	1409	2232
387	1413	2229
388	1417	2225
389	1420	2222
390	1424	2217
391	1427	2213
392	1431	2211
393	1435	2207
394	1438	2203
395	1442	2200
396	1446	2197
397	1450	2193
398	1454	2190
399	1458	2187
400	1461	2183
401	1465	2180
402	1469	2176
403	1472	2172
404	1476	2168
405	1479	2165
406	1483	2161
407	1486	2157
408	1490	2153
409	1494	2150
410	1497	2146
411	1501	2142
412	1505	2139
413	1508	2135
414	1512	2132
415	1516	2129
416	1520	2125
417	1524	2122
418	1527	2117
419	1530	2113
420	1534	2110
421	1538	2107
422	1542	2103
423	1545	2100
424	1549	2096
425	1552	2092
426	1556	2088
427	1560	2085
428	1563	2081
429	1567	2077
430	1571	2074
431	1574	2070
432	1577	2066
433	1581	2062
434	1585	2059
435	1588	2054
436	1592	2051
437	1595	2047
438	1599	2044
439	1604	2041
440	1607	2037
441	1611	2034
442	1614	2030
443	1618	2026
444	1621	2022
445	1624	2018
446	1628	2015
447	1632	2011
448	1635	2007
449	1639	2003
450	1642	2000
451	1646	1996
452	1649	1992
453	1653	1988
454	1656	1984
455	1659	1980
456	1663	1976
457	1666	1972
458	1670	1968
459	1673	1964
460	1677	1961
461	1680	1956
462	1685	1955
463	1688	1950
464	1692	1947
465	1696	1943
466	1699	1939
467	1703	1936
468	1706	1932
469	1710	1929
470	1714	1925
471	1718	1921
472	1721	1917
473	1725	1914
474	1728	1910
475	1732	1907
476	1737	1905
477	1741	1901
478	1744	1897
479	1748	1894
480	1752	1890
481	1755	1886
482	1759	1883
483	1763	1879
484	1766	1875
485	1770	1872
486	1774	1869
487	1778	1865
488	1781	1861
489	1785	1858
490	1788	1854
491	1792	1850
492	1795	1846
493	1799	1842
494	1802	1839
495	1806	1835
496	1809	1831
497	1813	1828
498	1817	1824
499	1820	1820
500	1824	1816
501	1827	1812
502	1831	1809
503	1835	1805
504	1839	1802
505	1842	1798
506	1845	1794
507	1849	1791
508	1852	1787
509	1856	1783
510	1859	1779
511	1863	1775
512	1866	1771
513	1869	1768
514	1873	1764
515	1876	1760
516	1879	1756
517	1883	1752
518	1886	1748
519	1889	1744
520	1892	1740
521	1896	1736
522	1899	1732
523	1902	1728
524	1906	1724
525	1909	1720
526	1912	1716
527	1915	1712
528	1918	1708
529	1921	1704
530	1925	1700
531	1928	1696
532	1931	1692
533	1934	1688
534	1937	1684
535	1941	1680
536	1944	1676
537	1947	1672
538	1951	1668
539	1954	1664
540	1958	1661
541	1961	1657
542	1964	1653
543	1967	1649
544	1971	1645
545	1974	1641
546	1977	1637
547	1980	1633
548	1984	1630
549	1987	1626
550	1991	1622
551	1994	1618
552	1997	1614
553	2000	1610
554	2004	1607
555	2007	1602
556	2010	1599
557	2013	1595
558	2017	1591
559	2020	1587
560	2024	1584
561	2027	1580
562	2031	1576
563	2034	1572
564	2038	1569
565	2040	1564
566	2044	1561
567	2048	1557
568	2051	1553
569	2054	1550
570	2058	1546
571	2061	1542
572	2064	1538
573	2068	1534
574	2071	1531
575	2074	1527
576	2077	1523
577	2080	1519
578	2084	1515
579	2087	1511
580	2090	1507
581	2093	1503
582	2097	1500
583	2100	1495
584	2103	1492
585	2106	1488
586	2110	1484
587	2113	1480
588	2117	1477
589	2119	1473
590	2123	1469
591	2127	1465
592	2130	1462
593	2133	1458
594	2137	1454
595	2140	1450
596	2143	1447
597	2146	1443
598	2149	1439
599	2153	1435
600	2156	1431
601	2159	1427
602	2163	1424
603	2166	1420
604	2169	1416
605	2172	1412
606	2176	1409
607	2179	1405
608	2198	1411
609	2201	1407
610	2205	1404
611	2208	1400
612	2212	1396
613	2216	1393
614	2219	1389
615	2223	1386
616	2227	1382
617	2231	1379
618	2234	1375
619	2238	1371
620	2242	1368
621	2245	1364
622	2249	1361
623	2252	1357
624	2256	1353
625	2261	1350
626	2264	1347
627	2268	1343
628	2272	1340
629	2275	1336
630	2279	1333
631	2283	1329
632	2287	1326
633	2290	1322
634	2294	1319
635	2298	1315
636	2301	1311
637	2306	1308
638	2309	1304
639	2312	1301
640	2316	1297
641	2320	1294
642	2324	1290
643	2328	1287
644	2332	1283
645	2336	1280
646	2339	1276
647	2343	1273
648	2363	1278
649	2367	1274
650	2371	1271
651	2374	1267
652	2378	1264
653	2382	1260
654	2386	1256
655	2389	1253
656	2393	1249
657	2397	1245
658	2400	1242
659	2404	1238
660	2408	1234
661	2412	1231
662	2415	1227
663	2419	1224
664	2423	1220
665	2426	1217
666	2431	1213
667	2434	1210
668	2441	1207
669	2445	1204
670	2449	1200
671	2452	1197
672	2456	1193
673	2459	1189
674	2463	1186
675	2466	1182
676	2470	1178
677	2474	1175
678	2478	1171
679	2481	1167
680	2485	1164
681	2488	1160
682	2492	1156
683	2495	1152
684	2499	1149
685	2503	1145
686	2506	1142
687	2509	1138
688	2513	1134
689	2517	1130
690	2520	1127
691	2524	1123
692	2527	1119
693	2530	1115
694	2533	1111
695	2537	1108
696	2540	1104
697	2544	1100
698	2547	1097
699	2551	1093
700	2554	1089
701	2558	1086
702	2561	1082
703	2565	1078
704	2568	1074
705	2572	1071
706	2575	1067
707	2579	1063
708	2582	1059
709	2585	1056
710	2589	1052
711	2592	1048
712	2596	1045
713	2600	1041
714	2604	1038
715	2608	1034
716	2613	1031
717	2617	1027
718	2620	1024
719	2624	1020
720	2628	1017
721	2632	1013
722	2637	1010
723	2641	1006
724	2644	1003
725	2648	999
726	2651	995
727	2655	992
728	2659	988
729	2663	985
730	2678	985
731	2692	985
732	2695	981
733	2699	978
734	2702	974
735	2706	970
736	2709	966
737	2713	963
738	2716	959
739	2720	955
740	2724	952
741	2727	948
742	2732	945
743	2736	941
744	2739	937
745	2743	934
746	2747	930
747	2750	926
748	2754	922
749	2758	919
750	2761	915
751	2765	912
752	2769	908
753	2773	904
754	2777	901
755	2781	897
756	2784	893
757	2788	890
758	2792	886
759	2795	882
760	2799	879
761	2804	875
762	2807	871
763	2811	868
764	2814	864
765	2818	860
766	2821	857
767	2825	853
768	2828	849
769	2832	845
770	2836	842
771	2840	838
772	2844	835
773	2847	831
774	2851	827
775	2855	824
776	2859	820
777	2863	816
778	2866	813
779	2871	809
780	2875	806
781	2879	802
782	2882	798
783	2886	795
784	2890	791
785	2893	787
786	2898	784
787	2901	780
788	2905	776
789	2908	773
790	2912	769
791	2916	766
792	2920	762
793	2924	758
794	2927	755
795	2931	751
796	2935	747
797	2938	743
798	2942	740
799	2946	736
800	2950	732
801	2953	729
802	2957	725
803	2961	721
804	2964	718
805	2967	714
806	2971	710
807	2974	706
808	2978	703
809	2982	699
810	2985	695
811	2989	692
812	2993	688
813	2997	684
814	3000	681
815	3004	677
816	3007	673
817	3011	670
818	3014	666
819	3018	662
820	3021	658
821	3025	655
822	3028	651
823	3032	647
824	3036	644
825	3039	640
826	3043	636
827	3046	632
828	3050	629
829	3054	625
830	3057	621
831	3061	618
832	3065	614
833	3068	610
834	3072	607
835	3076	603
836	3080	599
837	3084	596
838	3088	592
839	3091	588
840	3095	585
841	3098	581
842	3101	577
843	3105	574
844	3109	570
845	3112	566
846	3116	563
847	3119	559
848	3123	555
849	3127	551
850	3130	548
851	3133	544
852	3137	540
853	3140	536
854	3144	533
855	3147	529
856	3150	525
857	3154	522
858	3158	518
859	3162	514
860	3165	511
861	3169	507
862	3172	503
863	3176	500
864	3179	496
865	3183	492
866	3186	488
867	3190	485
868	3193	481
869	3197	477
870	3200	474
871	3203	470
872	3207	466
873	3210	462
874	3213	459
875	3217	455
876	3220	451
877	3223	447
878	3226	444
879	3230	440
880	3233	436
881	3236	433
882	3239	429
883	3243	425
884	3246	421
885	3249	418
886	3252	414
887	3256	410
888	3259	406
889	3263	403
890	3266	399
891	3269	395
892	3272	392
893	3276	388
894	3279	384
895	3283	381
896	3286	377
897	3290	373
898	3293	370
899	3297	366
900	3300	362
901	3303	358
902	3306	355
903	3310	351
904	3313	347
905	3317	344
906	3320	340
907	3323	336
908	3326	333
909	3329	329
910	3333	325
911	3336	321
912	3339	318
913	3343	314
914	3346	310
915	3349	307
916	3353	303
917	3356	299
918	3359	296
919	3363	292
920	3366	288
921	3370	285
922	3374	281
923	3378	277
924	3382	274
925	3385	270
926	3389	266
927	3392	263
928	3396	259
929	3400	255
930	3404	252
931	3407	248
932	3412	245
933	3416	241
934	3419	237
935	3423	234
936	3427	230
937	3431	226
938	3435	223
939	3439	219
940	3443	215
941	3446	212
942	3450	208
943	3454	204
944	3458	201
945	3462	197
946	3465	193
947	3468	190
948	3472	186
949	3476	182
950	3480	179
951	3484	175
952	3487	171
953	3491	168
954	3495	164
955	3498	161
956	3503	157
957	3506	153
958	3510	150
959	3514	146
960	3517	142
961	3521	139
962	3525	135
963	3528	131
964	3532	128
965	3537	124
966	3540	120
967	3544	117
968	3547	113
969	3551	109
970	3555	106
971	3558	102
972	3563	98
973	3566	95
974	3570	91
975	3574	87
976	3578	84
977	3581	80
978	3585	76
979	3589	73
980	3592	69
981	3596	65
982	3599	62
983	3603	58
984	3608	54
985	3612	51
986	3616	47
987	3619	43
988	3623	40
989	3626	36
990	3630	32
991	3634	29
992	3638	25
993	3642	21
994	3646	18
995	3649	14
996	3653	10
997	3657	7
998	3660	3
999	3664	0
